file,experiment,dataset,partition,privacy,target_epsilon,clip_norm,final_accuracy,final_macro_f1,final_test_loss,actual_epsilon,noise_multiplier
baseline_mnist_15rounds.csv,MNIST Baseline,MNIST,IID,Non-private,,,0.9431,0.9425117254256818,0.1906871528863906,,
final_dp_mnist_c1_0_eps10.csv,MNIST DP C1 eps10,MNIST,IID,DP,10.0,1.0,0.3983,0.3748101733945678,1.5959940172195437,9.997509420956504,0.52825927734375
final_dp_mnist_c1_0_eps3.csv,MNIST DP C1 eps3,MNIST,IID,DP,3.0,1.0,0.3942,0.3679416718893216,1.6047538780212405,2.9991002960813904,0.760498046875
final_dp_mnist_c1_0_eps1.csv,MNIST DP C1 eps1,MNIST,IID,DP,1.0,1.0,0.3851,0.3479265899102912,1.6349876205444336,0.9909781115359372,1.298828125
final_dp_mnist_c5_0_eps10.csv,MNIST DP C5 eps10,MNIST,IID,DP,10.0,5.0,0.7568,0.7494929778667005,0.7803836512565613,9.997509420956504,0.52825927734375
final_dp_mnist_c5_0_eps3.csv,MNIST DP C5 eps3,MNIST,IID,DP,3.0,5.0,0.7553,0.745218143305022,0.7798658941268921,2.9991002960813904,0.760498046875
final_dp_mnist_c5_0_eps1.csv,MNIST DP C5 eps1,MNIST,IID,DP,1.0,5.0,0.7017,0.6727422529830867,0.8720023496627808,0.9909781115359372,1.298828125
baseline_mnist_non_iid_15rounds.csv,MNIST Non-IID Baseline,MNIST,Non-IID,Non-private,,,0.4791,0.4156424688650638,1.2728611629486084,,
dp_mnist_non_iid_c5_eps3.csv,MNIST Non-IID DP eps3,MNIST,Non-IID,DP,3.0,5.0,0.3676,0.3062219048146131,1.694766144180298,2.9991002960813904,0.760498046875
dp_mnist_non_iid_c5_eps1.csv,MNIST Non-IID DP eps1,MNIST,Non-IID,DP,1.0,5.0,0.3454,0.2552791680327924,1.929873108673096,0.9909781115359372,1.298828125
baseline_fashion_mnist_15rounds.csv,Fashion-MNIST Baseline,Fashion-MNIST,IID,Non-private,,,0.7822,0.7703659824428535,0.5927524923801422,,
dp_fashion_mnist_c5_eps3.csv,Fashion-MNIST DP eps3,Fashion-MNIST,IID,DP,3.0,5.0,0.6835,0.669417538962665,1.0947413658142089,2.9991002960813904,0.760498046875
dp_fashion_mnist_c5_eps1.csv,Fashion-MNIST DP eps1,Fashion-MNIST,IID,DP,1.0,5.0,0.6543,0.637828471553471,1.2216893924713137,0.9909781115359372,1.298828125
